fase,inn_normalizado,inns_originais,nome_anvisa,tarja_atual,tarja_ia_sugerida,classificacao,motivos_auditoria,n_produtos_afetados
1,acetato dexametasona + clotrimazol,CLOTRIMAZOL;ACETATO DE DEXAMETASONA,CLOTRIMAZOL + ACETATO DE DEXAMETASONA,vermelha,Tarja vermelha com retenção,antifúngico tópico + corticosteroide tópico,"Tarja vermelha sem retenção é inadequada para combinação tópica antifúngica + corticosteroide; deveria ser Sem tarja (uso tópico OTC em muitos países) ou Tarja amarela (se prescrição obrigatória no Brasil); Indicado_para restrito a 'adultos' sem justificativa; combinações tópicas antifúngicas + corticosteroides podem ser usadas em crianças sob orientação, deveria ser 'ambos' ou 'adultos' com ressalva; Frequência '2 vezes ao dia' e duração '2 semanas' são genéricas e podem variar conforme apresentação/concentração não informadas; Faltam apresentação (creme, pomada, loção) e concentrações específicas de ambos os princípios ativos; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",3
1,acetato dexametasona + dexametasona,"ACETATO DE DEXAMETASONA, DEXAMETASONA",Dexamex,vermelha,Tarja vermelha com retenção,corticosteroide sistêmico,"Princípio ativo duplicado e contraditório: 'acetato dexametasona + dexametasona' é redundante e confuso; Tarja vermelha sem retenção é inadequada para corticosteroide sistêmico de uso contínuo; deveria ser 'Tarja vermelha com retenção'; Faltam apresentação (comprimido, injeção, etc.) e concentração (0,5mg, 4mg, etc.) para orientar 'como_tomar'; Indicado apenas para adultos é restritivo; dexametasona é usada em crianças em várias indicações (edema cerebral, choque, etc.); Confiança média em tarja contradiz a necessidade de retenção para corticosteroide sistêmico; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",1
1,acetato dexametasona + dexametasona + dexametasona dissódico + dissódico dexametasona,"DEXAMETASONA, DEXAMETASONA FOSFATO DISSÓDICO, FOSFATO DISSÓDICO DE DEXAMETASONA, ACETATO DE DEXAMETASONA",Dexason,vermelha,Tarja vermelha com retenção,corticosteroide sistêmico de ação prolongada,"Princípio ativo listado de forma redundante e confusa na entrada (acetato dexametasona + dexametasona + dexametasona dissódico + dissódico dexametasona) - candidata corrigiu para 'dexametasona' apenas, o que é apropriado; Tarja vermelha sem retenção é apropriada para dexametasona sistêmica, mas falta confirmação se é 'sem retenção' ou 'com retenção' - dexametasona injetável/sistêmica pode ter retenção dependendo da apresentação; Faltam informações críticas: apresentação (comprimido, injeção, solução), concentração e via de administração não foram fornecidas na entrada original; 'como_tomar' é genérico mas aceitável dado a falta de dados de apresentação/concentração; Indicado apenas para 'adultos' pode ser restritivo - dexametasona é usada em crianças em várias indicações (croup, meningite bacteriana, etc.); deveria ser 'ambos' com ressalva de uso pediátrico sob supervisão; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",1
1,acetato fludrocortisona,ACETATO DE FLUDROCORTISONA,FLORINEFE,vermelha,Tarja vermelha com retenção,corticosteroide mineralocorticoide,"Tarja vermelha sem retenção é questionável; fludrocortisona é corticosteroide de uso contínuo em condição crônica grave (insuficiência adrenal), típico de Tarja vermelha com retenção; Indicação restrita a 'adultos' é imprecisa; fludrocortisona é usada também em crianças com insuficiência adrenal congênita; Descrição de mecanismo ('ajuda o corpo a reter sódio e potássio') é parcialmente incorreta; fludrocortisona promove retenção de sódio e EXCREÇÃO de potássio; Falta apresentação e concentração (comprimidos de 0,1 mg é padrão), impedindo 'como_tomar' específico; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",1
1,acetato fluormetolona,ACETATO DE FLUORMETOLONA,Flutinol,vermelha,Tarja vermelha com retenção,Corticosteroide oftálmico,"Tarja incorreta: fluormetolona é corticosteroide oftálmico tópico, classificado como Tarja amarela (prescrição simples), não 'Sem tarja'; Contradição regulatória: o sistema indica tarja vermelha, mas a resposta candidata removeu completamente a tarja sem justificativa farmacológica válida; Indicação restritiva: 'adultos' é inadequado; corticosteroides oftálmicos podem ser usados em crianças sob supervisão médica, portanto deveria ser 'ambos'; Falta de informação crítica: não menciona risco de glaucoma, catarata ou infecção secundária com uso prolongado de corticosteroides oftálmicos; Classificador sugeriu Sem tarja e auditor sugeriu Tarja amarela; revisão manual obrigatória.",2
1,acetato hidrocortisona,ACETATO DE HIDROCORTISONA,CORTIGEN,vermelha,Tarja vermelha sem retenção,Corticosteroide tópico de potência leve a moderada,"INN incorreto: 'hidrocortisona (acetato)' deveria ser 'acetato de hidrocortisona' ou apenas 'hidrocortisona'; Tarja questionável: hidrocortisona tópica é geralmente Sem tarja ou Tarja amarela (prescrição simples), não vermelha; Indicado_para 'ambos' é vago: deveria especificar 'adultos e crianças' ou 'crianças com cautela' conforme idade mínima; como_tomar genérico adequado, mas falta menção à concentração/apresentação que deveria estar na bula; Queimadura de primeiro grau é indicação questionável para uso tópico sem prescrição; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",6
1,acetato hidrocortisona + hidrocortisona,"ACETATO DE HIDROCORTISONA, SUCCINATO SÓDICO DE HIDROCORTISONA",Cortisonal,vermelha,Tarja vermelha com retenção,Corticosteroide,"Princípio ativo duplicado e confuso: 'acetato de hidrocortisona' é uma forma de hidrocortisona, não um ativo separado; Tarja vermelha é genérica demais; hidrocortisona tópica é geralmente Sem tarja, enquanto formas sistêmicas podem ser Tarja amarela; Classificação 'tópico/sistêmico' é vaga; faltam apresentação e concentração para definir corretamente; Indicado apenas para adultos é restritivo; hidrocortisona tem uso pediátrico aprovado em várias apresentações; Faltam dados essenciais (apresentação, concentração, via) para gerar 'como_tomar' específico; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Sem tarja; revisão manual obrigatória.",1
1,acetato hidrocortisona + lidocaína + subacetato alumínio + óxido zinco,LIDOCAÍNA;ÓXIDO DE ZINCO;ACETATO DE HIDROCORTISONA;SUBACETATO DE ALUMÍNIO,XYLOPROCT,vermelha,Tarja vermelha sem retenção,Corticosteroide tópico + anestésico local + adstringente + protetor de pele,"Tarja incorreta: Xyloproct contém corticosteroide (hidrocortisona) e deve ter Tarja Amarela (prescrição simples), não 'Sem tarja'; A resposta candidata classificou como 'Sem tarja' com confiança 'alta', o que é inadequado para um produto com corticosteroide tópico; Indicação para 'adultos' é restritiva; o produto pode ser usado em crianças com orientação médica, deveria ser 'ambos'; Classificador sugeriu Sem tarja e auditor sugeriu Tarja amarela; revisão manual obrigatória.",6
1,acetato hidroxocobalamina + citidina 5'-monofosfato dissódico + dissódico citidina + trifosfato trissódico uridina + uridina-5'-trifosfato trissódica,"ACETATO DE HIDROXOCOBALAMINA, CITIDINA 5'-MONOFOSFATO DISSÓDICO, URIDINA-5'-TRIFOSFATO TRISSÓDICA, FOSFATO DISSÓDICO DE CITIDINA, trifosfato trissódico de uridina",Etna,vermelha,Tarja vermelha sem retenção,Vitamina B12 (cobalamina) + nucleotídeos (suplemento metabólico parenteral),"Tarja vermelha no sistema original foi alterada para 'Sem tarja' sem justificativa; produto com nucleotídeos e vitamina B12 parenteral tipicamente requer controle; INN simplificado e reorganizado sem preservar a nomenclatura exata da entrada original; Confiança média em tarja contradiz a mudança radical de classificação; Indicação genérica ('adultos') sem menção a faixa etária específica ou restrições pediátricas; Falta informação sobre via de administração específica (IM, IV, SC) na seção 'como_tomar'; Classificação como 'suplemento metabólico' pode ser imprecisa; necessário verificar se é medicamento ou suplemento conforme ANVISA; Classificador sugeriu Sem tarja e auditor sugeriu Tarja vermelha sem retenção; revisão manual obrigatória.",1
1,acetato hidroxocobalamina + dissódico citidina + trifosfato trissódico uridina,FOSFATO DISSÓDICO DE CITIDINA;ACETATO DE HIDROXOCOBALAMINA;TRIFOSFATO TRISSÓDICO DE URIDINA,ETNA,vermelha,Tarja vermelha sem retenção,Suplemento vitamínico com nucleotídeos (se confirmado),"Composição química suspeita: 'acetato hidroxocobalamina + dissódico citidina + trifosfato trissódico uridina' não corresponde a nenhum medicamento registrado conhecido; Nome 'ETNA' não identificado em base de dados de medicamentos brasileiros; Tarja alterada de vermelha para 'Sem tarja' sem justificativa farmacológica plausível; Falta apresentação, concentração e via de administração específicas; Indicação para 'ambos' (adultos e crianças) é genérica demais sem dados de segurança pediátrica; Possível confusão entre nomes de componentes: 'citidina dissódica trifosfato' e 'uridina trifosfato trissódica' não são nomenclaturas padrão; Produto pode ser fictício ou com nomenclatura não padronizada; Classificador sugeriu Sem tarja e auditor sugeriu Tarja vermelha sem retenção; revisão manual obrigatória.",2
1,acetato lanreotida,ACETATO DE LANREOTIDA,SOMATULINE AUTOGEL,vermelha,Tarja vermelha com retenção,análogo de somatostatina; inibidor de hormônio do crescimento,"Tarja vermelha sem retenção é incorreta; lanreotida é medicamento de controle especial e deve ser Tarja vermelha com retenção; Indicação incompleta: lanreotida também é usada em tumores carcinoides e gastroenteropancreáticos, não apenas acromegalia e tumores neuroendócrinos genéricos; Campo 'indicado_para' restritivo: lanreotida pode ser usada em crianças em casos específicos de acromegalia pediátrica; deveria ser 'adultos' com ressalva; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",1
1,acetato medroxiprogesterona + betacipionato estradiol,BETACIPIONATO DE ESTRADIOL;ACETATO DE MEDROXIPROGESTERONA,CYCLOFEMINA,vermelha,Tarja vermelha com retenção,contraceptivo hormonal injetável (progestágeno + estrogênio),"Tarja vermelha sem retenção é incorreta para contraceptivo hormonal; deve ser Tarja amarela; Frequência 'mensal ou conforme orientação' é imprecisa; Cyclofemina é aplicada a cada 30 dias (mensal), não 'conforme orientação'; Indicado_para deveria ser 'ambos' (mulheres adultas e adolescentes a partir de certa idade), não apenas 'adultos'; Falta menção a contraindicações absolutas (trombose ativa, câncer de mama, etc.) nos cuidados principais; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",2
1,acetato medroxiprogesterona + cipionato estradiol,"ACETATO DE MEDROXIPROGESTERONA, cipionato de estradiol",Cyclofemina,vermelha,Tarja vermelha com retenção,contraceptivo hormonal injetável (progestágeno + estrogênio),"Tarja vermelha sem retenção está incorreta — acetato de medroxiprogesterona + cipionato de estradiol (Cyclofemina) é Tarja vermelha COM RETENÇÃO (contraceptivo hormonal injetável mensal); Indicação 'adultos' é incompleta — deve ser 'ambos' pois é indicado para mulheres em idade reprodutiva, incluindo adolescentes acima de certa idade conforme bula; Frequência de aplicação genérica — sem apresentação e concentração confirmadas, não se deve afirmar 'a cada 30 dias' como padrão absoluto; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",1
1,acetato nomegestrol + estradiol hemi-hidratado,"ACETATO DE NOMEGESTROL, ESTRADIOL HEMI-HIDRATADO; ESTRADIOL HEMI-HIDRATADO;ACETATO DE NOMEGESTROL",Stezza,vermelha,Tarja vermelha com retenção,contraceptivo hormonal combinado (progestágeno + estrogênio),"Campo 'indicado_para' contém valor fora do enum exigido ('mulheres em idade reprodutiva' não é uma das opções válidas); Tarja vermelha sem retenção é questionável para contraceptivo hormonal combinado — contraceptivos orais são tipicamente Tarja amarela (prescrição simples); Falta apresentação e concentração do produto na resposta, impedindo validação completa da posologia; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",7
1,acetato noretisterona + estradiol,"ESTRADIOL, ACETATO DE NORETISTERONA",Suprema,,Tarja amarela,contraceptivo hormonal combinado / terapia de reposição hormonal,"Tarja vermelha sem retenção é inadequada: contraceptivos hormonais combinados são Tarja amarela (prescrição simples); Se for TRH (reposição hormonal), a tarja pode variar conforme apresentação e indicação, mas contraceptivos são sempre Tarja amarela; Indicado_para 'adultos' é impreciso: contraceptivos são indicados para mulheres em idade reprodutiva (adolescentes e adultos), não 'adultos' genericamente; Falta informação sobre apresentação (comprimidos, adesivo, etc.) e concentração exata dos hormônios; A classificação dual (contraceptivo + TRH) é correta, mas a tarja deve refletir o uso primário ou estar separada por indicação; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja amarela; revisão manual obrigatória.",1
1,acetato noretisterona + etinilestradiol,"ACETATO DE NORETISTERONA, ETINILESTRADIOL; ETINILESTRADIOL;ACETATO DE NORETISTERONA",Primosiston,vermelha,Tarja vermelha com retenção,contraceptivo hormonal combinado (progestágeno + estrogênio),"Campo 'indicado_para' com valor fora do enum exigido: 'mulheres em idade reprodutiva' não é uma opção válida (deve ser: adultos, crianças, ambos ou gestantes com cautela); Tarja vermelha sem retenção é questionável para contraceptivo oral; contraceptivos hormonais combinados são tipicamente Tarja amarela (prescrição simples) ou Tarja vermelha com retenção conforme regulação vigente; Falta informação sobre apresentação e concentração específicas (número de comprimidos, dosagem exata de cada hormônio) que deveria constar na bula; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",3
1,acetato prednisolona + gatifloxacino sesqui-hidratado,"gatifloxacino sesqui-hidratado, ACETATO DE PREDNISOLONA; GATIFLOXACINO SESQUI-HIDRATADO;ACETATO DE PREDNISOLONA",Zypred,vermelha,Tarja vermelha com retenção,Corticosteroide + Fluoroquinolona (uso oftálmico),Tarja vermelha sem retenção é incorreta para corticosteroide oftálmico; deve ser Tarja vermelha com retenção; Frequência '4 a 6 vezes ao dia' é genérica demais sem apresentação/concentração específica confirmada; Indicado_para 'adultos' é restritivo; colírios oftálmicos com corticosteroide podem ser usados em crianças sob supervisão oftalmológica; Classificador sugeriu Tarja vermelha sem retenção e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.,3
1,acetato racealfatocoferol,ACETATO DE RACEALFATOCOFEROL,TEUTOVIT E,vermelha,Sem tarja,Vitamina lipossolúvel (antioxidante),"Tarja vermelha no sistema original não justificada pela resposta candidata que propõe 'Sem tarja'; Vitamina E (racealfatocoferol) é tipicamente isenta de tarja quando em doses nutricionais, mas a discrepância com o sistema original sugere possível formulação com associação ou dose farmacológica não informada; Confiança média em tarja inadequada para um produto com tarja vermelha registrada; Falta informação sobre apresentação e concentração para validar a classificação de tarja; Campo 'indicado_para' com valor 'ambos' é genérico demais sem especificar faixa etária de crianças",2
1,acetato racealfatocoferol + betacaroteno + colecalciferol + ferroso + nitrato tiamina + piridoxina + riboflavina + ácido ascórbico + ácido fólico + óxido zinco,FUMARATO FERROSO;NITRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO FÓLICO;ÓXIDO DE ZINCO;ÁCIDO ASCÓRBICO;COLECALCIFEROL,DAMATER,vermelha,Sem tarja,Suplemento vitamínico e mineral ou Medicamento multivitamínico,"Tarja vermelha no sistema original foi alterada para 'Sem tarja' sem justificativa; suplementos vitamínicos são tipicamente sem tarja, mas a discrepância exige investigação; Princípio ativo original lista 'nitrato tiamina' (termo não farmacêutico padrão) e 'ferroso' sem especificar sal; resposta corrigiu para 'sulfato ferroso' sem confirmação; Acetato racealfatocoferol é termo não reconhecido em farmacopeias; provavelmente refere-se a acetato de retinol ou palmitato de retinol; Dose, frequência e apresentação não informadas; 'como_tomar' genérico é apropriado, mas resposta inventou 'uma vez ao dia'; Indicado para 'ambos' é vago; faltam informações sobre restrições em gestantes (vitamina A em excesso é teratogênica); Classificação como 'Suplemento' pode estar incorreta se DAMATER é medicamento registrado com indicação terapêutica específica",2
1,acetato racealfatocoferol + cânfora + levomentol + salicilato etilenoglicol,"SALICILATO DE ETILENOGLICOL, LEVOMENTOL, ACETATO DE RACEALFATOCOFEROL, CÂNFORA; SALICILATO DE ETILENOGLICOL;ACETATO DE RACEALFATOCOFEROL;LEVOMENTOL;CÂNFORA",Salonpas Gel Patch,,Sem tarja,Analgésico tópico rubefaciente com ação local,Princípio ativo 'salicilato etilenoglicol' não existe na farmacopeia; provavelmente é 'salicilato de etila' ou similar; 'Acetato racealfatocoferol' é nomenclatura não-padrão; deveria ser 'acetato de tocoferol' ou 'vitamina E'; Classificação como 'anti-inflamatório local' é imprecisa para este tipo de produto; é primariamente rubefaciente/analgésico tópico; Faltam apresentação e concentração dos ativos; 'como_tomar' deveria ser genérico; Indicação para 'adultos' sem menção a restrição em crianças é incompleta para adesivo com mentol e cânfora,6
1,acetato retinol + aminoácidos + cloranfenicol + metionina (11 c),"ACETATO DE RETINOL, AMINOÁCIDOS, metionina (11 C), CLORANFENICOL; CLORANFENICOL;ACETATO DE RETINOL;AMINOÁCIDOS;METIONINA (11 C)",Regencel,vermelha,Tarja vermelha com retenção,Antimicrobiano (cloranfenicol) + vitamina A + aminoácidos (uso tópico/oftalmológico),"Cloranfenicol é antimicrobiano de Tarja vermelha com retenção, mas a combinação com retinol + aminoácidos em formulação única é atípica e não corresponde a produto registrado conhecido; Indicação 'apenas adultos' é restritiva demais sem justificativa; muitos colírios/pomadas oftalmológicas são usados em crianças; Falta informação sobre apresentação (pomada, colírio, solução) e concentração de cada componente - essencial para orientação de uso; A confiança 'média' na tarja é inadequada; se contém cloranfenicol, a tarja deve ser alta confiança vermelha com retenção; Produto 'Regencel' não é identificado em base de dados farmacêutica padrão; pode ser descontinuado ou nome comercial incorreto",5
1,acetato zuclopentixol + decanoato zuclopentixol + zuclopentixol,"ACETATO DE ZUCLOPENTIXOL, DECANOATO DE ZUCLOPENTIXOL, DICLORIDRATO DE ZUCLOPENTIXOL",Clopixol,vermelha,Tarja vermelha com retenção,antipsicótico típico (tioxanteno),"Tarja preta é incorreta: zuclopentixol é antipsicótico típico e deve ser Tarja vermelha com retenção (não preta); A combinação de três formas (acetato + decanoato + base) no mesmo produto é incomum e não corresponde aos produtos Clopixol comercializados (que são monofármaco em uma única forma por apresentação); Faltam apresentação e concentração específicas, impossibilitando validar 'como_tomar' com precisão; Indicado apenas para adultos está correto, mas deveria mencionar cautela em idosos (risco aumentado de AVC); Classificador sugeriu Tarja preta e auditor sugeriu Tarja vermelha com retenção; revisão manual obrigatória.",2
1,acetonida triancinolona,ACETONIDA DE TRIANCINOLONA,NASACORT,vermelha,Tarja vermelha sem retenção,corticosteroide nasal tópico,"Tarja incorreta: corticosteroide nasal tópico de uso contínuo deve ter Tarja amarela (prescrição simples), não 'Sem tarja'; Nome do produto é NASACORT, não ALLENASAL (confusão com outro produto); Dose inventada (1 a 2 jatos) sem apresentação e concentração confirmadas; Indicação para crianças a partir de 2 anos não é universal para todos os corticosteroides nasais; triancinolona acetonida spray nasal geralmente é indicada a partir de 6 anos; Falta informação sobre necessidade de prescrição médica para uso contínuo; Classificador sugeriu Sem tarja e auditor sugeriu Tarja amarela; revisão manual obrigatória.",4
1,acetonida triancinolona + gramicidina + nistatina + sulfato neomicina,"ACETONIDA DE TRIANCINOLONA, SULFATO DE NEOMICINA, GRAMICIDINA, NISTATINA",Oncileg,vermelha,Tarja vermelha sem retenção,Corticosteroide tópico + antifúngico + antibiótico (uso otológico/dermatológico),Tarja classificada como 'Sem tarja' contradiz informação do sistema que indica 'vermelha'; Triancinolona acetonida é corticosteroide potente; combinação com antibióticos e antifúngicos em formulação otológica/dermatológica típica de prescrição controlada; Confiança na tarja 'alta' é inadequada dado o conflito com registro do sistema; Indicação restrita a 'adultos' sem justificativa; muitos otológicos são usados em crianças com prescrição; Faltam apresentação e concentração específicas para validar posologia genérica; Classificador sugeriu Sem tarja e auditor sugeriu Tarja vermelha sem retenção; revisão manual obrigatória.,1
